album,author,bits,date,download_password,download_url,file_format,info,language,music,size,title
选自专辑《Honey》,郑融,857Kbps,2014-09-17,cvp1,http://pan.baidu.com/s/1c06G4LU,ape,"选自专辑《Honey》,857Kbps,24.3M,国语,2014-09-17",国语,过马路,24.3M,郑融 - 过马路.ape
选自专辑《Honey》,郑融,875Kbps,2014-11-15,ajn4,http://pan.baidu.com/s/1i3oqOxZ,flac,"选自专辑《Honey》,875Kbps,24.5M,粤语,2014-11-15",粤语,红绿灯,24.5M,郑融 - 红绿灯.flac
选自专辑《23》,郑融,1411Kbps,2015-04-16,s4rh,http://pan.baidu.com/s/1sj4udwL,wav,"选自专辑《23》,1411Kbps,41.6M,粤语,2015-04-16",粤语,还,41.6M,郑融 - 还.wav
选自专辑《郑融精选》,郑融,800Kbps,2015-04-21,mpf2,http://pan.baidu.com/s/1dD4IIDb,ape,"选自专辑《郑融精选》,800Kbps,22.5M,粤语,2015-04-21",粤语,借,22.5M,郑融 - 借.ape
选自专辑《郑融精选》,郑融,1411Kbps,2015-05-03,55v4,http://pan.baidu.com/s/1hqxl84c,wav,"选自专辑《郑融精选》,1411Kbps,34.6M,粤语,2015-05-03",粤语,成人对待,34.6M,郑融 - 成人对待.wav
选自专辑《倚栏听风》,郑国锋,865Kbps,2015-07-01,p8q5,http://pan.baidu.com/s/1hqGR63y,flac,"选自专辑《倚栏听风》,865Kbps,22.9M,国语,2015-07-01",国语,倚栏听风,22.9M,郑国锋 - 倚栏听风.flac
选自专辑《C1own首张原创专辑》,郑国锋,728Kbps,2014-01-10,k541,http://pan.baidu.com/s/1ntz9DTR,ape,"选自专辑《C1own首张原创专辑》,728Kbps,14.3M,国语,2014-01-10",国语,潜意识失忆,14.3M,郑国锋 - 潜意识失忆.ape
选自专辑《爱情可遇不可求》,赵真,866Kbps,2015-07-01,x31v,http://pan.baidu.com/s/1o6IbrFO,flac,"选自专辑《爱情可遇不可求》,866Kbps,26.9M,国语,2015-07-01",国语,新咖啡眼泪,26.9M,赵真 - 新咖啡眼泪.flac
选自专辑《中国好声音3》,郑俊树,2304Kbps,2014-07-19,3iz9,http://pan.baidu.com/s/1o63CUYe,wav,"选自专辑《中国好声音3》,2304Kbps,53.2M,英语,2014-07-19",英语,You Raise Me Up,53.2M,郑俊树 - You Raise Me Up.wav
选自专辑《相见太晚精选辑》,赵咏华,939Kbps,2013-12-05,2iqq,http://pan.baidu.com/s/1bo6vha3,flac,"选自专辑《相见太晚精选辑》,939Kbps,44.8M,国语,2013-12-05",国语,最浪漫的事,44.8M,赵咏华 - 最浪漫的事.flac
选自专辑《倾城一笑》,郑国锋,Kbps,2017-07-03,无,http://pan.baidu.com/s/1capO2y,flac,"选自专辑《倾城一笑》,Kbps,26.6M,国语,2017-07-03",国语,倾城一笑,26.6M,郑国锋 - 倾城一笑.flac
选自专辑《爱情可遇不可求》,赵真,936Kbps,2014-04-14,gtr4,http://pan.baidu.com/s/1mgJoG5q,ape,"选自专辑《爱情可遇不可求》,936Kbps,26.1M,国语,2014-04-14",国语,朋友的心,26.1M,赵真 - 朋友的心.ape
选自专辑《多情的月光》,正月十五,960Kbps,2014-06-10,stai,http://pan.baidu.com/s/1jGyu82E,ape,"选自专辑《多情的月光》,960Kbps,31.7M,国语,2014-06-10",国语,多情的月光,31.7M,正月十五 - 多情的月光.ape
选自专辑《最美中国梦》,正月十五,1411Kbps,2015-07-01,k9i9,http://pan.baidu.com/s/1bnrtqIb,wav,"选自专辑《最美中国梦》,1411Kbps,47.9M,国语,2015-07-01",国语,爱你1314,47.9M,正月十五 - 爱你1314.wav
选自专辑《东方美》,赵媛,1411Kbps,2015-10-20,e15a,http://pan.baidu.com/s/1bUa1C,wav,"选自专辑《东方美》,1411Kbps,411.2M,国语,2015-10-20",国语,专辑《东方美》整轨无损,411.2M,赵媛 - 专辑《东方美》整轨无损.wav
选自专辑《最美中国梦》,正月十五,1411Kbps,2015-07-29,tgnc,http://pan.baidu.com/s/1bnygJVL,wav,"选自专辑《最美中国梦》,1411Kbps,38.0M,国语,2015-07-29",国语,站在高高的山岗上,38.0M,正月十五 - 站在高高的山岗上.wav
选自专辑《飞图20周年纪念精选大碟》,赵学而,845Kbps,2014-01-13,vvd1,http://pan.baidu.com/s/1qW9CY8c,ape,"选自专辑《飞图20周年纪念精选大碟》,845Kbps,26.7M,粤语,2014-01-13",粤语,寻开心,26.7M,赵学而 - 寻开心.ape
选自专辑《听听》,赵学而,638Kbps,2015-03-18,qg33,http://pan.baidu.com/s/1kTMgiEz,ape,"选自专辑《听听》,638Kbps,199.9M,国语,2015-03-18",国语,专辑《听听》整轨无损,199.9M,赵学而 - 专辑《听听》整轨无损.ape
选自专辑《黑胶精选》,赵鹏,804Kbps,2014-04-05,w3jo,http://pan.baidu.com/s/1i3sWxI9,ape,"选自专辑《黑胶精选》,804Kbps,25.3M,国语,2014-04-05",国语,船歌,25.3M,赵鹏 - 船歌.ape
选自专辑《问心无愧》,赵咏华,920Kbps,2014-08-15,pj34,http://pan.baidu.com/s/1i3oUAOX,ape,"选自专辑《问心无愧》,920Kbps,31.9M,国语,2014-08-15",国语,求婚,31.9M,赵咏华 - 求婚.ape
选自专辑《一生守侯》,赵鹏,1411Kbps,2014-07-21,d28s,http://pan.baidu.com/s/1jGDU78i,wav,"选自专辑《一生守侯》,1411Kbps,50.8M,国语,2014-07-21",国语,独上西楼,50.8M,赵鹏 - 独上西楼.wav
选自专辑《人声低音炮 闪亮的日子》,赵鹏,1411Kbps,2014-10-19,ydye,http://pan.baidu.com/s/1ntp3XGX,wav,"选自专辑《人声低音炮 闪亮的日子》,1411Kbps,420.6M,国语,2014-10-19",国语,专辑《人声低音炮 闪亮的日子》整轨无损,420.6M,赵鹏 - 专辑《人声低音炮 闪亮的日子》整轨无损.wav
选自专辑《低音炮3套车》,赵鹏,901Kbps,2014-12-06,giov,http://pan.baidu.com/s/1mgza564,ape,"选自专辑《低音炮3套车》,901Kbps,28.0M,国语,2014-12-06",国语,卜奎大街,28.0M,赵鹏 - 卜奎大街.ape
选自专辑《低音炮3套车》,赵鹏,1411Kbps,2015-03-15,im6g,http://pan.baidu.com/s/1gd8bdkB,wav,"选自专辑《低音炮3套车》,1411Kbps,44.0M,国语,2015-03-15",国语,三套车,44.0M,赵鹏 - 三套车.wav
选自专辑《低音风12级》,赵鹏,1411Kbps,2015-03-17,8fvi,http://pan.baidu.com/s/1dD1t7Gl,wav,"选自专辑《低音风12级》,1411Kbps,509.0M,国语,2015-03-17",国语,专辑《低音风12级》整轨无损,509.0M,赵鹏 - 专辑《低音风12级》整轨无损.wav
选自专辑《涂鸦低音炮》,赵鹏,1411Kbps,2015-04-30,rq9x,http://pan.baidu.com/s/1dD92PNV,wav,"选自专辑《涂鸦低音炮》,1411Kbps,529.9M,国语,2015-04-30",国语,专辑《涂鸦低音炮》整轨无损,529.9M,赵鹏 - 专辑《涂鸦低音炮》整轨无损.wav
选自专辑《我的神话》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1cpLDEY,ape,"选自专辑《我的神话》,Kbps,78.5M,国语,2017-05-03",国语,小妹,78.5M,赵鹏 - 小妹.ape
选自专辑《我的神话》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1boQHgKZ,ape,"选自专辑《我的神话》,Kbps,92.8M,国语,2017-05-03",国语,北风是你最后给我的拥抱,92.8M,赵鹏 - 北风是你最后给我的拥抱.ape
选自专辑《我的神话》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1skRA9Y1,ape,"选自专辑《我的神话》,Kbps,60.7M,国语,2017-05-03",国语,一声朋友,60.7M,赵鹏 - 一声朋友.ape
选自专辑《我的神话》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1eS5mAJ4,ape,"选自专辑《我的神话》,Kbps,56.3M,国语,2017-05-03",国语,早春,56.3M,赵鹏 - 早春.ape
选自专辑《我的神话》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1jHNLf62,ape,"选自专辑《我的神话》,Kbps,76.9M,国语,2017-05-03",国语,你的外套,76.9M,赵鹏 - 你的外套.ape
选自专辑《我的神话》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1eR6YlLS,ape,"选自专辑《我的神话》,Kbps,58.2M,国语,2017-05-03",国语,三生缘,58.2M,赵鹏 - 三生缘.ape
选自专辑《我的神话》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1kVBNU6r,ape,"选自专辑《我的神话》,Kbps,61.5M,国语,2017-05-03",国语,摇啊摇 摇到外婆桥,61.5M,赵鹏 - 摇啊摇 摇到外婆桥.ape
选自专辑《第五期 导师收歌》,赵照,645Kbps,2014-03-12,4ix5,http://pan.baidu.com/s/1gduw2VD,ape,"选自专辑《第五期 导师收歌》,645Kbps,14.2M,国语,2014-03-12",国语,当你老了,14.2M,赵照 - 当你老了.ape
选自专辑《我的神话》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1c19ekTy,ape,"选自专辑《我的神话》,Kbps,68.2M,国语,2017-05-03",国语,透明,68.2M,赵鹏 - 透明.ape
选自专辑《我的神话》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1eStHn5C,ape,"选自专辑《我的神话》,Kbps,62.8M,国语,2017-05-03",国语,昙花痛,62.8M,赵鹏 - 昙花痛.ape
选自专辑《大经厂》,赵照,1411Kbps,2015-09-04,gakv,http://pan.baidu.com/s/1o6xgZfO,wav,"选自专辑《大经厂》,1411Kbps,408.7M,国语,2015-09-04",国语,专辑《大经厂》整轨无损,408.7M,赵照 - 专辑《大经厂》整轨无损.wav
选自专辑《低音共鸣》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1nuY4rVz,wav,"选自专辑《低音共鸣》,Kbps,46.1M,国语,2017-05-03",国语,北国之春,46.1M,赵鹏 - 北国之春.wav
选自专辑《中国好声音》,赵祺,2304Kbps,2014-08-02,b5ja,http://pan.baidu.com/s/1jGwZNfS,wav,"选自专辑《中国好声音》,2304Kbps,56.3M,英语,2014-08-02",英语,You Are So Beautiful,56.3M,赵祺 - You Are So Beautiful.wav
选自专辑《我的神话》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1nvz8AWL,ape,"选自专辑《我的神话》,Kbps,60.6M,国语,2017-05-03",国语,温柔分手,60.6M,赵鹏 - 温柔分手.ape
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1mimJ0Dy,wav,"选自专辑《人声低音共鸣》,Kbps,43.8M,国语,2017-05-03",国语,被遗忘的时光,43.8M,赵鹏 - 被遗忘的时光.wav
选自专辑《惠威高低音试音碟》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1kV6yrFx,ape,"选自专辑《惠威高低音试音碟》,Kbps,44.6M,国语,2017-05-03",国语,船歌,44.6M,赵鹏 - 船歌.ape
选自专辑《一生守侯》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1kVxAP3h,wav,"选自专辑《一生守侯》,Kbps,37.5M,国语,2017-05-03",国语,喀秋莎,37.5M,赵鹏 - 喀秋莎.wav
选自专辑《闪亮的日子》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1dE5ExI5,wav,"选自专辑《闪亮的日子》,Kbps,43.8M,国语,2017-05-03",国语,绿岛小夜曲,43.8M,赵鹏 - 绿岛小夜曲.wav
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1qYCtKk8,wav,"选自专辑《低音炮3套车》,Kbps,45.3M,国语,2017-05-03",国语,那一天,45.3M,赵鹏 - 那一天.wav
选自专辑《再低音一次》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1c2szxuC,wav,"选自专辑《再低音一次》,Kbps,49.2M,国语,2017-05-03",国语,情人的眼泪,49.2M,赵鹏 - 情人的眼泪.wav
选自专辑《闪亮的日子》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1dFEceZ3,wav,"选自专辑《闪亮的日子》,Kbps,46.4M,国语,2017-05-03",国语,请跟我来,46.4M,赵鹏 - 请跟我来.wav
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1ge8sgoF,wav,"选自专辑《低音炮3套车》,Kbps,52.5M,国语,2017-05-03",国语,三百六十五里路,52.5M,赵鹏 - 三百六十五里路.wav
选自专辑《低音王朝I 你的眼神》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1hs641bI,wav,"选自专辑《低音王朝I 你的眼神》,Kbps,35.7M,国语,2017-05-03",国语,莫斯科郊外的晚上,35.7M,赵鹏 - 莫斯科郊外的晚上.wav
选自专辑《闪亮的日子》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1i5uXfEl,wav,"选自专辑《闪亮的日子》,Kbps,43.2M,国语,2017-05-03",国语,味道,43.2M,赵鹏 - 味道.wav
选自专辑《闪亮的日子》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1kUNJd6v,wav,"选自专辑《闪亮的日子》,Kbps,35.8M,国语,2017-05-03",国语,夜上海,35.8M,赵鹏 - 夜上海.wav
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1miyUFXm,wav,"选自专辑《低音炮3套车》,Kbps,44M,国语,2017-05-03",国语,三套车(俄罗斯民歌),44M,赵鹏 - 三套车(俄罗斯民歌).wav
选自专辑《惠威试音碟人声》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1hrCZLSo,wav,"选自专辑《惠威试音碟人声》,Kbps,47.6M,国语,2017-05-03",国语,月亮代表我的心,47.6M,赵鹏 - 月亮代表我的心.wav
选自专辑《涂鸦低音炮黑胶精选》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1kUXm1LX,wav,"选自专辑《涂鸦低音炮黑胶精选》,Kbps,51.1M,国语,2017-05-03",国语,再回首,51.1M,赵鹏 - 再回首.wav
选自专辑《低音王朝I 你的眼神》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1caS9Dc,wav,"选自专辑《低音王朝I 你的眼神》,Kbps,49.9M,国语,2017-05-03",国语,张三的歌,49.9M,赵鹏 - 张三的歌.wav
选自专辑《低音共鸣》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1i5aEtWp,wav,"选自专辑《低音共鸣》,Kbps,41.8M,国语,2017-05-03",国语,爱的箴言,41.8M,赵鹏 - 爱的箴言.wav
选自专辑《再低音一次》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1eSFvXZW,wav,"选自专辑《再低音一次》,Kbps,48.4M,国语,2017-05-03",国语,把悲伤留给自己,48.4M,赵鹏 - 把悲伤留给自己.wav
选自专辑《月光森林》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1eSorCqu,wav,"选自专辑《月光森林》,Kbps,54.9M,国语,2017-05-03",国语,不了情,54.9M,赵鹏 - 不了情.wav
选自专辑《低音风12级》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1hrTUIA4,ape,"选自专辑《低音风12级》,Kbps,50.6M,国语,2017-05-03",国语,当我想你的时候,50.6M,赵鹏 - 当我想你的时候.ape
选自专辑《民歌蔡琴》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1c12Y8fe,wav,"选自专辑《民歌蔡琴》,Kbps,48.9M,国语,2017-05-03",国语,渡口,48.9M,赵鹏 - 渡口.wav
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1cAe3EY,wav,"选自专辑《人声低音共鸣》,Kbps,44.7M,国语,2017-05-03",国语,老情人,44.7M,赵鹏 - 老情人.wav
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1jIkLE4Y,wav,"选自专辑《人声低音共鸣》,Kbps,53.4M,国语,2017-05-03",国语,明月千里寄相思,53.4M,赵鹏 - 明月千里寄相思.wav
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1c2CcnGc,wav,"选自专辑《人声低音共鸣》,Kbps,36.8M,国语,2017-05-03",国语,你的眼神,36.8M,赵鹏 - 你的眼神.wav
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1hsOfrdq,wav,"选自专辑《人声低音共鸣》,Kbps,52.2M,国语,2017-05-03",国语,女人花,52.2M,赵鹏 - 女人花.wav
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1kV3G2mr,wav,"选自专辑《人声低音共鸣》,Kbps,36.2M,国语,2017-05-03",国语,其实你不懂我的心,36.2M,赵鹏 - 其实你不懂我的心.wav
选自专辑《月光森林》,赵鹏,Kbps,2017-05-03,无,http://pan.baidu.com/s/1pLueUwj,wav,"选自专辑《月光森林》,Kbps,32.8M,国语,2017-05-03",国语,青春舞曲,32.8M,赵鹏 - 青春舞曲.wav
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1dFvLpRV,wav,"选自专辑《人声低音共鸣》,Kbps,45.2M,国语,2017-05-04",国语,甜蜜蜜,45.2M,赵鹏 - 甜蜜蜜.wav
选自专辑《外婆的澎湖湾》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1pKAJDpD,wav,"选自专辑《外婆的澎湖湾》,Kbps,40.1M,国语,2017-05-04",国语,外婆的澎湖湾,40.1M,赵鹏 - 外婆的澎湖湾.wav
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1geFJC6B,wav,"选自专辑《人声低音共鸣》,Kbps,39.8M,国语,2017-05-04",国语,相思河畔,39.8M,赵鹏 - 相思河畔.wav
选自专辑《王者无疆》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1o7J9od8,wav,"选自专辑《王者无疆》,Kbps,54.8M,国语,2017-05-04",国语,想说爱你不容易,54.8M,赵鹏 - 想说爱你不容易.wav
选自专辑《小城故事》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1pKQYKfL,wav,"选自专辑《小城故事》,Kbps,33.1M,国语,2017-05-04",国语,小城故事,33.1M,赵鹏 - 小城故事.wav
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1jIwqWZG,wav,"选自专辑《低音炮3套车》,Kbps,40.1M,国语,2017-05-04",国语,海恋,40.1M,赵鹏 - 海恋.wav
选自专辑《低音王朝I 你的眼神》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1qXELvPy,ape,"选自专辑《低音王朝I 你的眼神》,Kbps,49.6M,国语,2017-05-04",国语,鸿雁,49.6M,赵鹏 - 鸿雁.ape
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1slVoBu9,wav,"选自专辑《人声低音共鸣》,Kbps,48.2M,国语,2017-05-04",国语,几多愁,48.2M,赵鹏 - 几多愁.wav
选自专辑《人声低音共鸣》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1jIqRv3w,wav,"选自专辑《人声低音共鸣》,Kbps,41.1M,国语,2017-05-04",国语,假如我是真的,41.1M,赵鹏 - 假如我是真的.wav
选自专辑《低音共鸣》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1bE7YAa,wav,"选自专辑《低音共鸣》,Kbps,47.1M,国语,2017-05-04",国语,落红泪,47.1M,赵鹏 - 落红泪.wav
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1eRHhFdo,wav,"选自专辑《低音炮3套车》,Kbps,48.5M,国语,2017-05-04",国语,踏浪,48.5M,赵鹏 - 踏浪.wav
选自专辑《乌兰巴托的夜晚》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1i51IGEL,wav,"选自专辑《乌兰巴托的夜晚》,Kbps,M,国语,2017-05-04",国语,乌兰巴托的夜晚,,赵鹏 - 乌兰巴托的夜晚.wav
选自专辑《王者无疆》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1geLj0gb,wav,"选自专辑《王者无疆》,Kbps,45.9M,国语,2017-05-04",国语,野花,45.9M,赵鹏 - 野花.wav
选自专辑《月光森林》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1eSwzleE,wav,"选自专辑《月光森林》,Kbps,51.5M,国语,2017-05-04",国语,夜色如水,51.5M,赵鹏 - 夜色如水.wav
选自专辑《一生守侯》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1eSd2teM,wav,"选自专辑《一生守侯》,Kbps,61.1M,国语,2017-05-04",国语,一生守候,61.1M,赵鹏 - 一生守候.wav
选自专辑《月光森林》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1jIsnr4U,wav,"选自专辑《月光森林》,Kbps,42.1M,国语,2017-05-04",国语,月光森林,42.1M,赵鹏 - 月光森林.wav
选自专辑《再低音一次》,赵鹏,Kbps,2017-05-04,无,http://pan.baidu.com/s/1skJ3emL,wav,"选自专辑《再低音一次》,Kbps,47.5M,国语,2017-05-04",国语,殇,47.5M,赵鹏 - 殇.wav
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-06-21,无,http://pan.baidu.com/s/1c180J1A,flac,"选自专辑《低音炮3套车》,Kbps,26.4M,国语,2017-06-21",国语,春天里,26.4M,赵鹏 - 春天里.flac
选自专辑《低音炮3套车》,赵鹏,Kbps,2017-06-21,无,http://pan.baidu.com/s/1gfsvOmn,flac,"选自专辑《低音炮3套车》,Kbps,26.1M,国语,2017-06-21",国语,花房姑娘,26.1M,赵鹏 - 花房姑娘.flac
选自专辑《低音共鸣》,赵鹏,Kbps,2017-06-21,无,http://pan.baidu.com/s/1hrZwUag,flac,"选自专辑《低音共鸣》,Kbps,31.8M,国语,2017-06-21",国语,懂你,31.8M,赵鹏 - 懂你.flac
选自专辑《低音共鸣》,赵鹏,Kbps,2017-06-21,无,http://pan.baidu.com/s/1nvp1JDn,flac,"选自专辑《低音共鸣》,Kbps,26.9M,国语,2017-06-21",国语,童年,26.9M,赵鹏 - 童年.flac
选自专辑《低音共鸣》,赵鹏,Kbps,2017-06-21,无,http://pan.baidu.com/s/1c2mwpCc,flac,"选自专辑《低音共鸣》,Kbps,28.7M,粤语,2017-06-21",粤语,一场游戏一场梦,28.7M,赵鹏 - 一场游戏一场梦.flac
选自专辑《情深深雨蒙蒙》,赵薇,1411Kbps,2015-02-16,7ex7,http://pan.baidu.com/s/1hqJ33zm,wav,"选自专辑《情深深雨蒙蒙》,1411Kbps,60.4M,国语,2015-02-16",国语,离别的车站,60.4M,赵薇 - 离别的车站.wav
选自专辑《双》,赵薇,1411Kbps,2015-08-07,cjhi,http://pan.baidu.com/s/1eQrVCEA,wav,"选自专辑《双》,1411Kbps,43.6M,国语,2015-08-07",国语,我和上官燕,43.6M,赵薇 - 我和上官燕.wav
选自专辑《还珠格格 音乐全记录》,赵薇,926Kbps,2014-05-21,ikyd,http://pan.baidu.com/s/1vmIQy,ape,"选自专辑《还珠格格 音乐全记录》,926Kbps,22.4M,国语,2014-05-21",国语,自从有了你,22.4M,赵薇 - 自从有了你.ape
选自专辑《双》,赵薇,1411Kbps,2015-10-20,5fb8,http://pan.baidu.com/s/1mg8dFle,wav,"选自专辑《双》,1411Kbps,52.4M,国语,2015-10-20",国语,发现,52.4M,赵薇 - 发现.wav
选自专辑《左耳》,赵薇,Kbps,2016-05-06,urg4,http://pan.baidu.com/s/1i50drG5,flac,"选自专辑《左耳》,Kbps,19.18MBM,国语,2016-05-06",国语,左耳,19.18MBM,赵薇 - 左耳.flac
选自专辑《情深深雨濛濛音乐全记录》,赵薇,1411Kbps,2015-06-30,73py,http://pan.baidu.com/s/1i32Cu1Z,wav,"选自专辑《情深深雨濛濛音乐全记录》,1411Kbps,47.6M,国语,2015-06-30",国语,情深深雨蒙蒙,47.6M,赵薇 - 情深深雨蒙蒙.wav
选自专辑《飞图20周年纪念精选大碟》,赵学而,1411Kbps,2015-06-09,ex4q,http://pan.baidu.com/s/1hq3sQAo,wav,"选自专辑《飞图20周年纪念精选大碟》,1411Kbps,39.5M,粤语,2015-06-09",粤语,我恨我是女人,39.5M,赵学而 - 我恨我是女人.wav
选自专辑《飘》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=49626003&uk=3797276610,flac,"选自专辑《飘》,Kbps,26.4M,国语,2016-05-09",国语,一直下雨的星期天,26.4M,赵薇 - 一直下雨的星期天.flac
选自专辑《Swallow》,赵薇,Kbps,2016-05-09,krhv,http://pan.baidu.com/s/1pLrdQzT,wav,"选自专辑《Swallow》,Kbps,36M,国语,2016-05-09",国语,有一个姑娘,36M,赵薇 - 有一个姑娘.wav
选自专辑《Swallow小燕子》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=3470191931&uk=20177646&fid=460044762678454,flac,"选自专辑《Swallow小燕子》,Kbps,308M,国语,2016-05-09",国语,Swallow,308M,赵薇 - Swallow.flac
选自专辑《SWALLOW 小燕子》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=1446958174&uk=3679924179&fid=439184655097945,wav,"选自专辑《SWALLOW 小燕子》,Kbps,34.7M,国语,2016-05-09",国语,自从有了你,34.7M,赵薇 - 自从有了你.wav
选自专辑《双》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=3470191931&uk=20177646&fid=460044762678454,flac,"选自专辑《双》,Kbps,301M,国语,2016-05-09",国语,《双》专辑,301M,赵薇 - 《双》专辑.flac
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=3476286426&uk=20177646&fid=59591219749410,ape,"选自专辑《天使旅行箱》,Kbps,260M,国语,2016-05-09",国语,天使旅行箱专辑,260M,赵薇 - 天使旅行箱专辑.ape
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/share/link?shareid=1259324639&uk=3325825116&fid=414443616145512,ape,"选自专辑《天使旅行箱》,Kbps,23.3M,国语,2016-05-10",国语,大城小恋,23.3M,赵薇 - 大城小恋.ape
选自专辑《最后一次分手》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=3479266567&uk=20177646&fid=1011445873298037,ape,"选自专辑《最后一次分手》,Kbps,373.4M,国语,2016-05-09",国语,最后一次分手,373.4M,赵薇 - 最后一次分手.ape
选自专辑《情深深雨蒙蒙》,赵薇,Kbps,2016-05-09,无,http://pan.baidu.com/share/link?shareid=3920425637&uk=2149313098&fid=492404646989184,flac,"选自专辑《情深深雨蒙蒙》,Kbps,30.2M,国语,2016-05-09",国语,情深深雨蒙蒙,30.2M,赵薇 - 情深深雨蒙蒙.flac
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/share/link?shareid=1259324639&uk=3325825116&fid=855247654847495,ape,"选自专辑《天使旅行箱》,Kbps,24.8M,国语,2016-05-10",国语,天使旅行箱,24.8M,赵薇 - 天使旅行箱.ape
选自专辑《天使旅行箱》,赵薇,Kbps,2016-05-10,无,http://pan.baidu.com/share/link?shareid=1259324639&uk=3325825116&fid=861659561002658,ape,"选自专辑《天使旅行箱》,Kbps,25.9M,国语,2016-05-10",国语,蝶,25.9M,赵薇 - 蝶.ape
